,train,test,single
1,0.029961824417114258,0.0219419002532959,0.020941495895385742
2,0.030189037322998047,0.024720191955566406,0.021012544631958008
3,0.030849933624267578,0.02212667465209961,0.024057388305664062
4,0.031537532806396484,0.02313828468322754,0.02060675621032715
5,0.03014397621154785,0.030711889266967773,0.020154953002929688
mean,0.030536460876464843,0.024527788162231445,0.02135462760925293
