,train,test,single
1,0.0252687931060791,0.10887598991394043,0.02550029754638672
2,0.021582365036010742,0.029636859893798828,0.030097007751464844
3,0.02385258674621582,0.037111520767211914,0.03508710861206055
4,0.027544260025024414,0.0322880744934082,0.05576920509338379
5,0.026433229446411133,0.028105497360229492,0.025035858154296875
mean,0.02493624687194824,0.047203588485717776,0.03429789543151855
