,train,test,single
1,0.8912396430969238,0.06001472473144531,0.054199934005737305
2,0.9119555950164795,0.057050228118896484,0.051195383071899414
3,1.0255203247070312,0.05924868583679199,0.05689072608947754
4,1.1134395599365234,0.07275390625,0.06528544425964355
5,1.0385992527008057,0.056304931640625,0.05358266830444336
mean,0.9961508750915528,0.06107449531555176,0.05623083114624024
